id,Model,Display name,Hugging Face developer id,Version release date,Notes,Link,Aider’s polyglot benchmark,OS World (Screenshot),LiveBench,Balrog,The Agent Company,AidanBench,WeirdML V1,WebDevArena,SimpleBench,Factorio Learning Environment,HCAST,RE-Bench,MCBench,VendingBench,METR horizon lengths,Cybench,Lech Mazur Writing,TEMPLATE,GeoBench,Fiction.LiveBench,CadEval,VPCT,HellaSwag,OpenBookQA,WinoGrande,MMLU,BBH,TriviaQA,autoadvexbench,Terminal Bench,BrowseComp,OSUniverse,VideoMME,GSO-Bench,GSM8K,CommonSenseQA 2,SuperGlue,LAMBADA,BoolQ,PIQA,ARC AGI,Adversarial NLI,ScienceQA,DeepResearch Bench,WeirdML V2,ARC AI2,EnigmaEval,VISTA,ToolComp,Has external benchmark result on hub (WIP),TEMPLATE copy
DeepSeek-Prover-V1.5-RL,DeepSeek-Prover-V1.5,,deepseek-ai,2024-08-15,,https://huggingface.co/deepseek-ai/DeepSeek-Prover-V1.5-RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
DeepSeek-Prover-V1.5-SFT,DeepSeek-Prover-V1.5,,deepseek-ai,2024-08-15,,https://huggingface.co/deepseek-ai/DeepSeek-Prover-V1.5-SFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
DeepSeek-V2,DeepSeek-V2 (MoE-236B),,deepseek-ai,2024-05-07,,https://huggingface.co/deepseek-ai/DeepSeek-V2,,,,,,,,,,,,,,,,,,,,,,,recIDwVCV7xiAPtWR,,recv143kxseDbH93b,recUe3PPejBJft24I,"rec0HIGEri0gb87de,recEi33ywW8PezgV3",recvyWDwCUBlqF0P5,,,,,,,,,,,,recCDyTiNQ3ihLhEw,,,,,,rech3PGmSJM5UVUj1,,,,0,
DeepSeek-V2-Chat-0628,DeepSeek-V2 (MoE-236B),,deepseek-ai,2024-06-28,,https://huggingface.co/deepseek-ai/DeepSeek-V2-Chat-0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
DeepSeek-V2.5,DeepSeek-V2.5,,deepseek-ai,2024-09-06,,https://huggingface.co/deepseek-ai/DeepSeek-V2.5,recm8QAqvAKTqkfw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
DeepSeek-V2.5-1210,DeepSeek-V2.5,DeepSeek-V2.5 (Dec 2024),deepseek-ai,2024-12-10,,https://huggingface.co/deepseek-ai/DeepSeek-V2.5-1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gemini-1.0-pro-001,Gemini 1.0 Pro,,,2024-02-15,"""Gemini 1.0 Pro is an NLP model that handles tasks like multi-turn text and code chat, and code generation.""

April 9, 2025 - discontinuation date

Knowledge cutoff date appears to be February 1, 2024, according to https://llm-stats.com/models/gemini-1.0-pro.",https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.0-pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gemini-1.5-flash-001,Gemini 1.5 Flash,Gemini 1.5 Flash (May 2024),,2024-05-23,"Gemini 1.5 Flash is a fast and versatile multimodal model for scaling across diverse tasks.
Knowledge cutoff date is November 1, 2023, according to https://developer.box.com/guides/box-ai/ai-models/google-gemini-1-5-flash-001-model-card/.",https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-flash,,,,,,,,,,,,,,,,,,,,,,,,,,recya8zx93N6YFh4J,,,,,,,receUlT4WLLzwVco3,,recx5qxkmLl6QN3sM,,,,recLLijFlIEJQiniu,,,,,,,,,,,0,
gemini-1.5-flash-002,Gemini 1.5 Flash,,,2024-09-24,"Gemini 1.5 Flash is a fast and versatile multimodal model for scaling across diverse tasks.
Knowledge cutoff date is May 1, 2024, according to https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/1-5-flash",https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-flash,,,,recQrinDnBT5cObDo,,google/gemini-flash-1.5,,,,,,,,Gemini 1.5 Flash,,,,,recZO3tP9x1pQsytO,,,,,,,recIlo0YrdpQ2gmEe,,,,,,,,,,,,,,recgEUyXX8JGSCqol,,,,,recWD9aNKNFHjknWF,,,recUYfH6UyJZfELHK,,1,
gemini-1.5-flash-8b-001,Gemini 1.5 Flash 8B,,,2024-10-03,"Gemini 1.5 Flash-8B is a small model designed for lower intelligence tasks.
Knowledge cutoff date appears to be October 1, 2024, according to https://llm-stats.com/models/compare/gemini-1.5-flash-8b-vs-deepseek-v2.5.",https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-flash-8b,,,,,,google/gemini-flash-1.5-8b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gemini-1.5-flash-exp-0827,Gemini 1.5 Flash,,,2024-08-27,"Gemini 1.5 Flash (2024-08-27)
Knowledge cutoff date is November 1, 2023, according to https://models.portkey.ai/models/gemini-1-5-flash-exp-0827 and https://klu.ai/glossary/lmsys-leaderboard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gemini-1.5-pro-001,Gemini 1.5 Pro,,,2024-05-24,"Gemini 1.5 Pro is a mid-size multimodal model that is optimized for a wide-range of reasoning tasks. 1.5 Pro can process large amounts of data at once, including 2 hours of video, 19 hours of audio, codebases with 60,000 lines of code, or 2,000 pages of text.
Knowledge cutoff date is November 1, 2023, according to https://developer.box.com/guides/box-ai/ai-models/google-gemini-1-5-pro-001-model-card/.",https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-pro,,Gemini-Pro-1.5,,,,,,,,,,,,,,reco8bWKr3VP7mW4o,,,,,,,,,,recWbQsttPCe4RW4T,,,,,,,rec5BPMcD8LfZ4vl5,,,,,,,,,,,,,,,reco5MuFBQ6LkvR23,"recjQmcVPFiaAxoyj,recKEruIrmjQnZy85",0,
gemini-1.5-pro-002,Gemini 1.5 Pro,,,2024-09-24,"Gemini 1.5 Pro is a mid-size multimodal model that is optimized for a wide-range of reasoning tasks. 1.5 Pro can process large amounts of data at once, including 2 hours of video, 19 hours of audio, codebases with 60,000 lines of code, or 2,000 pages of text.
Knowledge cutoff date is May 1, 2024, according to https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/1-5-pro.",https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-pro,,,,recWRZ7DAviIRftFN,OpenHands + Gemini 1.5 Pro,google/gemini-pro-1.5,,recsuGMPbGwVUtzmv,recJPOyD1j4nEFjGF,,,,,Gemini 1.5 Pro,,,,,,,recHocZbBBZGwraMJ,,,,,recosbed3WAJ7x0aX,,,,,,rec35N6v6vBDXRnUM,,,,,,,,,,,,,recppqHhl200vYPWu,,,,,1,
gemma-2-9b,Gemma 2 9B,,google,,,https://huggingface.co/google/gemma-2-9b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rec7skWHWt0sr5KwE,,,,recht7f4a80DWbgMN,recwF8TNC8B3AT1J3,,,,,,,,,,0,
gemma-2-9b-it,Gemma 2 9B,,google,2024-06-24,,https://huggingface.co/google/gemma-2-9b-it,,,gemma-2-9b-it,,,google/gemma-2-9b-it,,,,,,,,,,,,,,,,,,,,receSMvaZsWAJGCwz,,,,,,,,,,,,,,,,,,,,,,,,0,
gemma-2-27b,Gemma 2 27B,,google,,,https://huggingface.co/google/gemma-2-27b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gemma-2-27b-it,Gemma 2 27B,,google,2024-06-24,,https://huggingface.co/google/gemma-2-27b-it,,,gemma-2-27b-it,,,google/gemma-2-27b-it,,,,,,,,,,,,,,,,,,,,recvSF9bkUFYJFbvW,,,,,,,,,,,,,,,,,,,,,,,,0,
glm-4,GLM-4,,,,[to be] Discontinued in June 2025,https://bigmodel.cn/pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
glm-4-0520,GLM-4 (0520),,,2024-05-20,,https://bigmodel.cn/pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gpt-3.5-turbo-16k-0613,GPT-3.5 Turbo,,,2023-06-13,"was deprecated 2024-09-13
This model appears to have had a knowledge cutoff date of September 1, 2021, according to https://docsbot.ai/models/compare/gpt-3-5-turbo-16k/gpt-4-0613.",https://platform.openai.com/docs/deprecations#2023-11-06-chat-model-updates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gpt-3.5-turbo-0125,GPT-3.5 Turbo,,,2024-01-25,"The latest GPT-3.5 Turbo model with higher accuracy at responding in requested formats and a fix for a bug which caused a text encoding issue for non-English language function calls.
This model had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-35.",https://platform.openai.com/docs/models#gpt-3-5-turbo,,,,,,,recLgPsE0HB86Q1hn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recZRRnQERBJbnqYb,,,,,1,
gpt-3.5-turbo-0613,GPT-3.5 Turbo,,,2023-06-13,"was deprecated 2024-09-13
This model appears to have had a knowledge cutoff date of September 1, 2021, like its 16k counterpart (https://docsbot.ai/models/compare/gpt-3-5-turbo-16k/gpt-4-0613).",https://platform.openai.com/docs/deprecations#2023-11-06-chat-model-updates,,,,,,,,,,,,,,,,,,,,,,,,,recVLx9PCXRj3W5o5,receZjlh6qpQqkcqQ,recUwVGAl716WVpBU,,,,,,,,"recqp1V0mwUdsVRem,recVbcJgszljOW7Kk",recLJTHqISFdhqJwy,,,recyVcZ23aeVIuZ1t,,,,,,,,,,,0,
gpt-3.5-turbo-1106,GPT-3.5 Turbo,GPT-3.5 Turbo (Nov 2023),,2023-11-06,"GPT-3.5 Turbo model with improved instruction following, JSON mode, reproducible outputs, parallel function calling, and more

Knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-35.",https://platform.openai.com/docs/models#gpt-3-5-turbo,,,,,,,,,,,,,,,,,,,,,,,,rec39keFceUY6rwsC,rec3A3yupKXU0nX4B,recGJbQCjDKrqzKXr,,rec9zhI3QCvrHtHw2,,,,,,,,,,,,,,recW7PD5XPKpKzmqK,,,,recfRXMnx6rHuGIBt,,,,0,
gpt-4-32k-0314,GPT-4,,,2023-03-14,"to be shut down 2025-06-06
This model seems to have had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4-and-gpt-4-turbo-models.",https://platform.openai.com/docs/deprecations,,,,,,,,,,,,,,,,,,,,,,,recOyxFNOYBvgCzru,,recHX5MxEY42Quo60,,,,,,,,,,,,,,,,,,,,,,,,,0,
gpt-4-32k-0613,GPT-4,,,2023-06-13,"to be shut down 2025-06-06
This model seems to have had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4-and-gpt-4-turbo-models.",https://platform.openai.com/docs/deprecations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gpt-4-0125-preview,GPT-4 Turbo,GPT-4 Turbo Preview (January 2024),,2024-01-25,"GPT-4 is an older version of a high-intelligence GPT model, usable in Chat Completions. Learn more in the text generation guide. The knowledge cutoff for the latest GPT-4 Turbo version is December, 2023 (supported by https://github.com/HaoooWang/llm-knowledge-cutoff-dates?tab=readme-ov-file).",https://platform.openai.com/docs/models#gpt-4-turbo-and-gpt-4,,,,,,,,,,,,,,,recD86WJin9bt0ueq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
gpt-4-0314,GPT-4,GPT-4 (Mar 2023),,2023-03-14,"GPT-4 is an older version of a high-intelligence GPT model, usable in Chat Completions. Learn more in the text generation guide. The knowledge cutoff for the latest GPT-4 Turbo version is December, 2023.
This model seems to have had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4-and-gpt-4-turbo-models.",https://platform.openai.com/docs/models#gpt-4-turbo-and-gpt-4,,,,,,openai/gpt-4-0314,,,,,,,,,recO1ntpu18mX9GIG,,,,,,,,"recPk9HXP3iqyzA10,recGg30WxShdoma6K",,recaR4Pf3RkCiAANz,recP6zUYu6rVqvynx,,,,,,,,,rece42bDNIveYuuDP,,,,,,,,,,,,,,,1,
gpt-4-0613,GPT-4,GPT-4 (Jun 2023),,2023-06-13,"GPT-4 is an older version of a high-intelligence GPT model, usable in Chat Completions. Learn more in the text generation guide. The knowledge cutoff for the latest GPT-4 Turbo version is December, 2023.
This model seems to have had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4-and-gpt-4-turbo-models.",https://platform.openai.com/docs/models#gpt-4-turbo-and-gpt-4,,,,,,,,,,,,,,,,,,,,,,,,,,reccKxm0VqsklwpFa,recw72u6BTbC1nVaC,recLawKW7ayTST6hX,,,,,,,recUjhbldxzRr4009,,,,,,,,,,recUUJ0BGuNnLDeXK,,,,recdOiVBClQ6wxVEj,1,
