model,distilled,confidence,notes
grok-2-1212,FALSE,medium,Speculated
grok-3-beta,FALSE,medium,Speculated
grok-3-mini-beta_high,TRUE,medium,
grok-3-mini-beta_low,TRUE,medium,
grok-4-0709,FALSE,medium,"Assumed, given its size relative to rest of series"
Inflection-1,FALSE,low,
internlm-20b,FALSE,high,No mention of distillation in report
internlm-7b,FALSE,high,No mention of distillation in report
Kimi-K2-Instruct,FALSE,high,
LLaMA-13B,FALSE,high,Training described
Llama-2-13b,FALSE,high,
Llama-2-34b,FALSE,high,
Llama-2-70b-hf,FALSE,high,
Llama-2-7b,FALSE,high,
Llama-3.1-405B,FALSE,medium,"Assumed to be similar to Llama 3, the paper for which does not mention distillation"
Llama-3.1-405B-Instruct,FALSE,medium,"Assumed to be similar to Llama 3, the paper for which does not mention distillation"
Llama-3.1-70B-Instruct,FALSE,medium,"Assumed to be similar to Llama 3, the paper for which does not mention distillation"
Llama-3.1-8B-Instruct,FALSE,medium,"Assumed to be similar to Llama 3, the paper for which does not mention distillation"
Llama-3.2-90B-Vision-Instruct,FALSE,medium,"Assumed to be similar to Llama 3, the paper for which does not mention distillation"
Llama-3.3-70B-Instruct,FALSE,medium,"Assumed to be similar to Llama 3, the paper for which does not mention distillation"
LLaMA-33B,FALSE,high,Training described
Llama-4-Maverick-17B-128E-Instruct,TRUE,high,codistillation
Llama-4-Maverick-17B-128E-Instruct-FP8,TRUE,high,codistillation
Llama-4-Scout-17B-16E-Instruct,TRUE,medium,
LLaMA-65B,FALSE,high,Training described
LLaMA-7B,FALSE,high,Training described
Meta-Llama-3-70B-Instruct,FALSE,high,No mention of distillation in report
Meta-Llama-3-8B-Instruct,FALSE,high,No mention of distillation in report
Mistral-7B-v0.1,FALSE,high,
mistral-large-2407,FALSE,low,
mistral-large-2411,FALSE,low,
mistral-medium-2505,FALSE,low,
mistral-small-2501,FALSE,low,
mistral-small-2503,FALSE,low,
Mixtral-8x7B-v0.1,FALSE,high,No mention of distillation in report
mpt-30b,FALSE,medium,No obvious indication
mpt-7b,FALSE,medium,No obvious indication
Nemotron-4 15B,FALSE,high,No mention of distillation in report
o1-2024-12-17_high,FALSE,low,
o1-2024-12-17_medium,FALSE,low,
o1-mini-2024-09-12_high,TRUE,medium,Speculated
o1-mini-2024-09-12_medium,TRUE,medium,Speculated
o1-preview-2024-09-12,FALSE,low,
o3-2025-04-16_high,FALSE,low,
o3-2025-04-16_medium,FALSE,low,
o3-mini-2025-01-31_high,TRUE,medium,Speculated
o3-mini-2025-01-31_medium,TRUE,medium,Speculated
o4-mini-2025-04-16_high,TRUE,medium,Speculated
o4-mini-2025-04-16_medium,TRUE,medium,Speculated
open_llama_7b,FALSE,medium,No obvious indication
PaLM 2-L,FALSE,high,No mention of distillation in report
PaLM 2-M,FALSE,high,No mention of distillation in report
PaLM 2-S,FALSE,high,No mention of distillation in report
phi-1_5,TRUE,high,"Training on synthetic data, but not knowledge distillation? Still messes up the compute relationship though."
phi-2,TRUE,high,"Training on synthetic data, but not knowledge distillation? Still messes up the compute relationship though."
Phi-3-medium-128k-instruct,TRUE,high,"Training on synthetic data, but not knowledge distillation? Still messes up the compute relationship though."
Phi-3-mini-4k-instruct,TRUE,high,"Training on synthetic data, but not knowledge distillation? Still messes up the compute relationship though."
Phi-3-small-8k-instruct,TRUE,high,"Training on synthetic data, but not knowledge distillation? Still messes up the compute relationship though."
phi-4,TRUE,high,"Training on synthetic data, but not knowledge distillation? Still messes up the compute relationship though."
Qwen-1_8B,FALSE,high,No mention of distillation in report
Qwen-14B,FALSE,high,No mention of distillation in report
Qwen-7B,FALSE,high,No mention of distillation in report
qwen-max-2025-01-25,FALSE,low,
qwen2-72b-instruct,FALSE,low,
Qwen2.5-72B,FALSE,high,No mention of distillation in report
qwen2.5-72b-instruct,FALSE,high,Training described
Qwen2.5-Coder-0.5B,TRUE,low,"There's this one step they call ""distillation method"" but it doesn't seem like distillation in the traditional sense"
Qwen2.5-Coder-1.5B,TRUE,low,"There's this one step they call ""distillation method"" but it doesn't seem like distillation in the traditional sense"
Qwen2.5-Coder-14B,TRUE,low,"There's this one step they call ""distillation method"" but it doesn't seem like distillation in the traditional sense"
Qwen2.5-Coder-32B,TRUE,low,"There's this one step they call ""distillation method"" but it doesn't seem like distillation in the traditional sense"
qwen2.5-coder-3b,TRUE,low,"There's this one step they call ""distillation method"" but it doesn't seem like distillation in the traditional sense"
Qwen2.5-Coder-7B,TRUE,low,"There's this one step they call ""distillation method"" but it doesn't seem like distillation in the traditional sense"
Qwen2.5-VL-72B-Instruct,TRUE,low,"""human preference distillation"" in post-training"
qwen3-235b-a22b,FALSE,medium,Distillation of smaller models from this one mentioned in paper
RedPajama-INCITE-7B-Base,FALSE,low,
StableBeluga2,FALSE,low,"uses ""synthetically-generated dataset"" for SFT, but probably kinda minimal?"
stablelm-tuned-alpha-7b,FALSE,medium,No obvious indication
starcoder2-15b,FALSE,medium,No mention of distillation in report
starcoder2-3b,FALSE,medium,No mention of distillation in report
starcoder2-7b,FALSE,medium,No mention of distillation in report
text-davinci-003,FALSE,medium,
vicuna-13b-v1.1,FALSE,low,Paper describes training on ChatGPT conversations but just as fine-tuning
xgen-7b-8k-base,FALSE,low,Paper describes training on ChatGPT conversations but just as fine-tuning
Yi-34B-Chat,FALSE,high,No mention of distillation in report
Yi-6B,FALSE,high,No mention of distillation in report
Yi-9B,FALSE,high,No mention of distillation in report
