,model,Model,date,estimated_capability
21,gpt-5-nano-2025-08-07_high,GPT-5 nano,2025-08-07,2.2922754967768944
37,gemini-2.5-pro-preview-03-25,Gemini 2.5 Pro,2025-04-09,2.2860692516559467
341,o1-2024-12-17_high,o1,2024-12-17,2.2766208797334535
338,o3-mini-2025-01-31_high,o3-mini,2025-01-31,2.2755528663125
326,o1-2024-12-17_medium,o1,2024-12-17,2.2739149174361786
4,claude-sonnet-4-20250514_32K,Claude Sonnet 4,2025-05-22,2.2641243852047648
77,gemini-2.5-flash-preview-05-20_16K,Gemini 2.5 Flash,2025-05-20,2.2603893348083575
8,grok-3-mini-beta_high,Grok-3 mini,2025-04-09,2.2580303209871313
3,claude-opus-4-20250514_16K,Claude Opus 4,2025-05-22,2.2546428419819273
72,gemini-2.5-flash-preview-04-17 (24K thinking),Gemini 2.5 Flash,2025-04-17,2.2534202684295903
17,claude-opus-4-1-20250805_16K,Claude Opus 4.1,2025-08-05,2.2529831839330976
36,claude-opus-4-20250514_27K,Claude Opus 4,2025-05-22,2.2514518615950925
249,grok-4-fast,Grok 4 Fast,2025-09-19,2.2474154130662423
2,claude-sonnet-4-20250514_16K,Claude Sonnet 4,2025-05-22,2.246686060260105
71,gemini-2.5-pro-preview-06-05_1K,Gemini 2.5 Pro,2025-06-05,2.2463347264211344
70,claude-opus-4-20250514_8K,Claude Opus 4,2025-05-22,2.2463347264189513
10,DeepSeek-R1-0528,DeepSeek-R1,2025-05-28,2.2386114779920234
292,gemini-robotics-er-1.5-preview,,2025-09-26,2.2374794064004964
75,claude-sonnet-4-20250514_8K,Claude Sonnet 4,2025-05-22,2.231770190239868
302,gemini-2.5-flash-preview-04-17 (16K thinking),Gemini 2.5 Flash,2025-04-17,2.22961249572227
39,gemini-2.5-flash-preview-04-17,Gemini 2.5 Flash,2025-04-17,2.229071299190667
83,claude-sonnet-4-20250514_1K,Claude Sonnet 4,2025-05-22,2.2242666422499697
9,claude-3-7-sonnet-20250219_64K,Claude 3.7 Sonnet,2025-02-24,2.2181184736933233
16,claude-opus-4-1-20250805,Claude Opus 4.1,2025-08-05,2.2178850979373657
172,gpt-5-2025-08-07_minimal,GPT-5,2025-08-07,2.2166173516570793
86,claude-opus-4-20250514_1K,Claude Opus 4,2025-05-22,2.216597200488922
348,claude-3-7-sonnet-20250219_32K,Claude 3.7 Sonnet,2025-02-24,2.215988544854514
331,o3-mini-2025-01-31_medium,o3-mini,2025-01-31,2.212818714375366
238,CUA,Computer-Using Agent (CUA),2025-01-23,2.2108263983796
171,gemini-2.5-flash,Gemini 2.5 Flash,2025-06-17,2.209557912274006
74,gemini-2.5-flash-preview-05-20_8K,Gemini 2.5 Flash,2025-05-20,2.2087462939263895
38,gemini-2.5-flash-preview-05-20,Gemini 2.5 Flash,2025-05-20,2.208716482653088
293,claude-sonnet-4-5-20250929_32K,Claude Sonnet 4.5,2025-09-29,2.2029114830304746
371,claude-opus-4-20250514,Claude Opus 4,2025-05-22,2.1991952328389694
82,claude-3-7-sonnet-20250219_8K,Claude 3.7 Sonnet,2025-02-24,2.184512064627856
81,o1-pro-2025-03-19_low,o1,2025-03-19,2.1839216975175426
46,gemini-2.5-flash-preview-05-20_23K,Gemini 2.5 Flash,2025-05-20,2.1808779011479102
27,claude-sonnet-4-5-20250929,Claude Sonnet 4.5,2025-09-29,2.1801214514260288
344,claude-3-7-sonnet-20250219_16K,Claude 3.7 Sonnet,2025-02-24,2.1778264929554014
5,grok-3-beta,Grok 3,2025-04-09,2.175288874064288
31,o4-mini-2025-04-16_low,o4-mini,2025-04-16,2.1728118911887173
80,codex-mini-2025-05-16,,2025-05-16,2.1680816972804813
7,DeepSeek-R1,DeepSeek-R1,2025-01-20,2.1583959380780273
347,DeepSeek-R1-Distill-Llama-70B,DeepSeek-R1-Distill-Llama-70B,2025-01-20,2.1484018479449043
218,gpt-4-0314,GPT-4,2023-03-14,2.146530585113213
214,claude-3-7-sonnet-20250219_15K,Claude 3.7 Sonnet,2025-02-24,2.1458270697844988
363,grok-3-mini-beta_low,Grok-3 mini,2025-04-09,2.1400045099625964
339,o1-mini-2024-09-12_high,o1-mini,2024-09-12,2.1324290068007814
372,claude-sonnet-4-20250514,Claude Sonnet 4,2025-05-22,2.126363464992001
73,gemini-2.5-flash-preview-05-20_1K,Gemini 2.5 Flash,2025-05-20,2.115100367584046
342,claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,2025-02-24,2.101529221947977
346,gpt-4.5-preview-2025-02-27,GPT-4.5,2025-02-27,2.093877556252865
356,DeepSeek-V3-0324,DeepSeek-V3,2025-03-24,2.093876586955223
364,qwq-plus,QWQ-Plus,2025-04-08,2.0921157850022265
85,o3-mini-2025-01-31_low,o3-mini,2025-01-31,2.0910643918008898
365,gpt-4.1-2025-04-14,GPT-4.1,2025-04-14,2.08910699979655
47,chatgpt-4o-03-27-2025,GPT-4o,2025-03-27,2.086815705920375
318,o1-mini-2024-09-12_medium,o1-mini,2024-09-12,2.078942196583381
161,reka-flash-3,Reka Flash 3,2025-03-10,2.074275471788353
336,gemini-2.0-flash-thinking-exp-01-21,Gemini 2.0 Flash Thinking,2025-01-21,2.067189513706082
84,claude-3-7-sonnet-20250219_1K,Claude 3.7 Sonnet,2025-02-24,2.0639458368810866
340,o1-preview-2024-09-12,o1-preview,2024-09-12,2.0492654850171084
13,qwen3-235b-a22b,Qwen3-235B-A22B,2025-04-29,2.0400240967145935
212,claude-3-7-sonnet-20250219_2K,Claude 3.7 Sonnet,2025-02-24,2.0376052300509304
337,gemini-2.0-pro-exp-02-05,Gemini 2.0 Pro,2025-02-05,2.035775342565596
367,gpt-4.1-mini-2025-04-14,GPT-4.1 mini,2025-04-14,2.032842392784117
19,Kimi-K2-Instruct,Kimi K2,2025-07-12,2.0286374559477993
87,grok-3,Grok 3,2025-04-09,2.0240584514673836
49,gemini-exp-1206,Gemini 2.0 Flash,2024-12-06,2.0169767917584505
370,mistral-medium-2505,Mistral Medium 3,2025-05-07,2.0144166776790926
48,Qwen3-32B,Qwen3-32B,2025-04-29,2.010905673872911
349,DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-14B,2025-01-20,2.0091135361864176
125,Llama-3.1-405B,Llama 3.1-405B,2024-07-23,2.0074422767558584
335,gemini-2.0-flash-001,Gemini 2.0 Flash,2025-02-05,2.0048223092573596
303,Qwen3-30B-A3B,Qwen3-30B-A3B,2025-04-29,1.9948120689464128
362,claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-10-22,1.9843861895426582
15,magistral-small-2506,Magistral Small 1.1,2025-06-10,1.9756516178186172
360,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama 4 Maverick,2025-04-05,1.9671047266942505
327,DeepSeek-V3,DeepSeek-V3,2024-12-26,1.9428591316920163
144,gemini-1.5-pro-002,Gemini 1.5 Pro,2024-09-24,1.9365633197591827
217,Qwen3-Coder-480B-A35B-Instruct,Qwen3-Coder-480B-A35B,2025-07-31,1.9215003800882318
50,chatgpt-4o-01-29-2025,GPT-4o,2025-01-29,1.8951920560509468
357,qwen-max-2025-01-25,Qwen2.5-Max,2025-01-25,1.884301324839638
358,qwen-plus-2025-01-25,Qwen Plus,2025-01-25,1.8775960242547252
333,phi-4,Phi-4,2024-12-12,1.8670215579232217
252,InternVL2_5-78B,InternVL2_5-78B,2024-12-06,1.8669153895538455
227,claude-1.3,Claude 1.3,2023-04-18,1.8663033872104293
366,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,2025-04-14,1.8631251169179643
237,qwen2.5-14b-instruct,Qwen2.5-14B,2025-02-26,1.8629149415462154
52,QwQ-32B,QwQ-32B,2025-03-05,1.8622917038220441
222,grok-2-1212,Grok-2,2024-12-12,1.8448468444859225
294,gemini-2.5-flash-lite-preview-09-25,Gemini 2.5 Flash-Lite,2025-09-25,1.842484908273625
124,Qwen2.5-72B,Qwen2.5-72B,2024-09-19,1.8411191290090676
67,gemini-1.5-flash-002,Gemini 1.5 Flash,2024-09-24,1.840008750213751
310,qwen2.5-72b-instruct,Qwen2.5-72B,2024-09-19,1.8369691914221697
215,Qwen2.5-VL-72B-Instruct,Qwen2.5-72B,2024-09-19,1.8362411190490782
55,Llama-4-Maverick-17B-128E-Instruct,Llama 4 Maverick,2025-04-05,1.836025283297106
353,gemma-3-27b-it,Gemma 3 27B,2025-03-12,1.8262364316322792
51,gemini-2.0-flash-exp,Gemini 2.0 Flash,2024-12-11,1.824475903597657
45,claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,2024-06-20,1.823872282747799
123,DeepSeek-V2,DeepSeek-V2 (MoE-236B),2024-05-07,1.814814201981926
334,gpt-4o-2024-11-20,GPT-4o,2024-11-20,1.7947932417555055
33,qwen-plus-2025-04-28,Qwen Plus,2025-04-28,1.79458757199243
183,T5-11B,T5-11B,,1.7931788744994839
361,Llama-4-Scout-17B-16E-Instruct,Llama 4 Scout,2025-04-05,1.7901041040031478
329,gpt-4o-2024-08-06,GPT-4o,2024-08-06,1.7841631511409104
328,qwen2.5-32b-instruct,Qwen2.5-32B,2024-09-17,1.778765681273978
245,gpt-oss-120b,gpt-oss-120b,2025-08-05,1.7773346668936245
359,qwen-turbo-2024-11-01,Qwen-Turbo,2024-11-01,1.7758142145664557
250,LLaVA-Video-72B-Qwen2,,2024-09-02,1.771108876426384
343,mistral-large-2411,Mistral Large 2,2024-11-18,1.7697821183947964
56,gpt-4o-2024-05-13,GPT-4o,2024-05-13,1.7679702211628388
53,DeepSeek-V2.5,DeepSeek-V2.5,2024-09-06,1.7659001919366566
188,Llama-3.1-405B-Instruct,Llama 3.1-405B,2024-07-23,1.7576217580979665
352,claude-3-5-haiku-20241022,Claude 3.5 Haiku,2024-10-22,1.7560514004578216
256,LinVT,,2024-12-06,1.7522820918968238
54,Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder (32B),2024-11-21,1.7422627920244533
345,gpt-4-turbo-2024-04-09,GPT-4 Turbo,2024-04-09,1.7391712463847482
354,mistral-small-2503,Mistral Small 3.1,2025-03-17,1.7339579241754681
317,mistral-large-2407,Mistral Large 2,2024-07-24,1.728779639248041
162,DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-32B,2025-01-20,1.7147057648698527
330,mistral-small-2501,Mistral Small 3,2025-01-25,1.7142404142796626
325,Llama-3.3-70B-Instruct,Llama 3.3 70B,2024-12-06,1.7135906060098975
220,amazon.nova-pro-v1:0,Amazon Nova Pro,2024-12-03,1.7097550800150325
323,Llama-3.1-Tulu-3-70B-DPO,Tulu 3 (Tülu 3) 70B,2024-11-21,1.7020114864504126
207,ml-elephant,,,1.7007250616628773
133,gpt-4o-mini-2024-07-18,GPT-4o mini,2024-07-18,1.7004864931276478
111,gemini-1.5-pro-001,Gemini 1.5 Pro,2024-05-24,1.6965985341115655
308,claude-3-opus-20240229,Claude 3 Opus,2024-02-29,1.6801627129997576
295,QwQ-32B-Preview-Q8_0-GGUF,QwQ-32B,2024-12-27,1.6762263300079598
57,yi-lightning,Yi-Lightning,2024-12-02,1.6750344468723157
122,gpt-4-1106-preview,GPT-4 Turbo,2023-11-06,1.6737608301288234
322,Llama-3.2-90B-Vision-Instruct,Llama 3.2 90B,2024-09-24,1.6678468416183072
177,Llama-3.1-70B-Instruct,Llama 3.1-70B,2024-07-23,1.6669497044019241
233,qwen2-72b-instruct,Qwen2-72B,2024-06-07,1.6664034675544692
213,gemini-2.0-flash-02-05,Gemini 2.0 Flash,2025-02-05,1.6572805287955052
58,c4ai-command-a-03-2025,Cohere Command A,2025-03-13,1.6552829671136138
1,gpt-4-0125-preview,GPT-4 Turbo,2024-01-25,1.6404347994503015
59,codestral-2501,Codestral,2025-01-13,1.6342121734509174
163,Mistral-Nemo-Instruct-2407,Mistral NeMo,2024-07-18,1.6298471671612347
305,Meta-Llama-3-70B,Llama 3-70B,2024-04-18,1.620907223809103
62,Phi-3-small-8k-instruct,phi-3-small 7.4B,2024-04-23,1.6202227548708044
296,llama3.3:70b-instruct-q8_0,Llama 3.3 70B,2024-12-06,1.6189419907170333
91,PaLM 540B,PaLM (540B),2022-04-04,1.6122437081381242
60,openhands-lm-32b-v0.1,,2024-03-26,1.6115957850926823
297,llama3.1:405b-instruct-q4_K_M,Llama 3.1-405B,2024-07-23,1.6066145376067775
164,Llama-3.2-11B-Vision-Instruct,Llama 3.2 11B,2024-09-24,1.5920016948938525
202,Inflection-1,Inflection-1,2023-06-22,1.591571690114568
254,Aria,,2024-09-30,1.5872674972579974
253,ViLAMP-llava-qwen,,2025-05-01,1.581296019532444
208,Mixtral-8x22B-Instruct-v0.1,Mixtral 8x22B,2024-04-17,1.5805692633489872
311,WizardLM-2-8x22B,WizardLM-2 8x22B,2024-04-15,1.5720916400376137
149,claude-instant-1.1,Claude Instant,,1.5702858049942352
251,Oryx-1.5-32B,,2024-10-22,1.569380544067089
165,Qwen2-VL-72B-Instruct,,2024-08-29,1.5611498013327916
115,StableBeluga2,Stable Beluga 2,2023-07-20,1.5597834594111892
110,gemini-1.5-flash-001,Gemini 1.5 Flash,2024-05-23,1.554260103249987
23,gemma-2-27b-it,Gemma 2 27B,2024-06-24,1.5476202254743328
61,Phi-3-mini-4k-instruct,phi-3-mini 3.8B,2024-04-23,1.5343634452052837
266,Hermes-2-Theta-Llama-3-70B,Hermes 2 Theta Llama-3 70B,2024-06-20,1.5232960645603164
223,Mixtral-8x22B-v0.1,Mixtral 8x22B,2024-04-17,1.5232425696530925
66,Mixtral-8x7B-v0.1,Mixtral 8x7B,2023-12-11,1.5227243572795732
199,Yi-1.5-34B-Chat,Yi-1.5-34B,2024-05-13,1.5203547929331789
315,open-mixtral-8x22b,Mixtral 8x22B,2024-04-17,1.5193165052723019
224,gpt-4-turbo,GPT-4 Turbo,2023-11-06,1.5171066989218365
78,gpt-4-0613,GPT-4,2023-06-13,1.5166820234557263
288,Meta-Llama-3-70B-Instruct,Llama 3-70B,2024-04-18,1.5158826660398168
263,LLaVA-OneVision 72B,,2024-08-06,1.510334037052666
258,VideoLLAMA3-7B,,2024-01-22,1.5044761986687467
225,amazon.nova-lite-v1:0,Amazon Nova Lite,2024-12-03,1.4988354188662458
324,Eurus-2-7B-PRIME,Eurus-2-7B-PRIME,2024-12-31,1.493431005343864
148,text-davinci-002,GPT-3.5,2022-03-15,1.4930610562250788
350,gemini-1.5-flash-8b-001,Gemini 1.5 Flash 8B,2024-10-03,1.4873358011309692
260,LLaVA-Video-7B-Qwen2,,2024-09-02,1.4869518075095547
351,claude-3-sonnet-20240229,Claude 3 Sonnet,2024-02-29,1.4785163615165655
100,Llama-2-70b-hf ,Llama 2-70B,2023-07-18,1.4759632680601333
221,claude-2.0,Claude 2,2023-07-11,1.4720334408146458
206,T5-3B,T5-3B,,1.4715583040065834
257,LLaVA-Video-7B-Qwen2-TPO,,2025-01-19,1.4694995143309804
332,Phi-3-medium-128k-instruct,phi-3-medium 14B,2024-04-23,1.4652820068516743
150,claude-instant-1.2,Claude Instant,2023-08-09,1.4548822027204968
262,VideoChat-Flash-Qwen2-7B_res448,,2025-01-11,1.4521173722796723
99,gpt-3.5-turbo-1106,GPT-3.5 Turbo,2023-11-06,1.4518462017461211
166,Llama-3.1-8B-Instruct,Llama 3.1-8B,2024-07-23,1.4509818666334338
34,claude-3-haiku-20240307,Claude 3 Haiku,2024-03-07,1.4373746019933735
88,gemma-2-9b-it,Gemma 2 9B,2024-06-24,1.436776146954825
12,claude-2.1,Claude 2.1,2023-11-21,1.4335940293092033
255,qwen1.5-32b-chat,Qwen1.5-32B,2024-04-03,1.4262420151015958
264,ByteVideoLLM-14B,,2024-10-13,1.411821628099831
173,Yi-34B,Yi-34B,2023-11-02,1.4103793579290553
313,gemini-1.0-pro-001,Gemini 1.0 Pro,2024-02-15,1.3984164080903776
312,dbrx-instruct,DBRX,2024-03-27,1.3951835535429125
261,NVILA-8B,NVILA 8B,2024-12-10,1.3889536851714435
244,qwen1.5-72b-chat,Qwen1.5-72B,2024-02-04,1.3845264599880198
95,falcon-180B,Falcon-180B,2023-09-06,1.3838730939130048
259,LiveCC-7B-Instruct,,2024-04-12,1.3832540482184124
316,ministral-8b-2410,Ministral 8B,2024-10-16,1.3824487257308204
267,MiniCPM-o-2_6,,2025-01-12,1.3718750551053018
321,open-mistral-nemo-2407,Mistral NeMo,2024-07-18,1.361897477422572
94,PaLM 2-L,,2023-05-17,1.3610177610394023
314,ministral-3b-2410,Ministral 3B,2024-10-16,1.3600312840787558
319,open-mixtral-8x7b,Mixtral 8x7B,2023-12-11,1.3524767133201716
309,Mixtral-8x7B-Instruct-v0.1,Mixtral 8x7B,2023-12-11,1.352163853620481
226,amazon.nova-micro-v1:0,Amazon Nova Micro,2024-12-03,1.3449155360054668
299,Meta-Llama-3-8B-Instruct,Llama 3-8B,2024-04-18,1.3252416058010699
228,qwen1.5-32B,Qwen1.5-32B,2024-02-04,1.3115751477541124
229,qwen1.5-14B,Qwen1.5-14B,2024-02-04,1.3060620189234613
219,GLaM (MoE),GLaM,2021-12-13,1.305393949839279
232,c4ai-command-r-plus-08-2024,Command R+,2024-08-30,1.3038517205460542
106,internlm-20b,,2023-09-18,1.3013298006416638
298,phi4:14b-q8_0,Phi-4,2025-02-26,1.29638434906646
179,gpt-3.5-turbo-0613,GPT-3.5 Turbo,2023-06-13,1.2907472259250565
155,gpt-3.5-turbo-0125,GPT-3.5 Turbo,2024-01-25,1.2905382765679023
65,gemma-7b,Gemma 7B,2024-02-21,1.287882861158747
197,gemma-2-9b,Gemma 2 9B,,1.2878548657026967
268,VideoLLAMA2-7B,,2024-06-12,1.2873506443168652
118,Qwen-14B,Qwen-14B,2023-09-28,1.284628460873392
230,mistral-medium-2312,Mistral Medium,2023-12-11,1.2841252979089834
64,Mistral-7B-v0.1,Mistral 7B,2023-09-27,1.2791162318649083
307,deepseek-llm-67b-chat,DeepSeek LLM 67B,2023-11-29,1.2543082183912198
180,mpt-30b-instruct,MPT-30B,2023-06-22,1.2526555785482323
114,LLaMA-65B,LLaMA-65B,2023-02-24,1.2487302109511327
239,gpt-4-1106-vision-preview,GPT-4V,2023-11-06,1.2412466365450694
277,Llama-2-70b-chat-hf,Llama 2-70B,2023-07-18,1.2403505376075126
142,Qwen2.5-Coder-32B,Qwen2.5-Coder (32B),2024-09-18,1.2333257749492326
195,Phi-3.5-MoE-instruct,Phi-3.5-MoE,2024-08-17,1.2331384711992133
271,InternVL2-40B,InternVL2-40B,2024-07-08,1.220677796260284
93,PaLM 2-M,,2023-05-17,1.2199098429646986
231,mistral-small-2402,,2024-02-26,1.2166318923081603
205,T5-Large,,,1.2054239552692816
269,MiniCPM-V-2_6,,2024-08-03,1.2041283710810842
63,phi-2,Phi-2,2023-12-12,1.2035819929592806
178,text-davinci-003,GPT-3.5,2022-11-28,1.2019347495984867
167,Llama-3.2-3B-Instruct,Llama 3.2 3B,2024-09-24,1.1999921000976927
236,falcon-11b,Falcon 2 11B,2024-05-09,1.1926700600407627
113,LLaMA-33B,LLaMA-33B,2023-02-27,1.1727090927007424
176,Mistral-7B-Instruct-v0.2,Mistral 7B,,1.1678918766355622
234,Qwen1.5-7B,Qwen1.5-7B,2024-02-04,1.153055422357627
200,Chinchilla (70B),Chinchilla,2022-03-29,1.1513313253295285
235,c4ai-command-r-08-2024,,2024-08-30,1.1478003666866683
170,Qwen2-VL-7B-Instruct,,2024-08-29,1.1477753996980753
304,Meta-Llama-3-8B,Llama 3-8B,2024-04-18,1.1392631426470659
196,Mistral-Nemo-Base-2407,Mistral NeMo,2024-07-18,1.136876886018979
139,Qwen2.5-Coder-14B,,2024-09-18,1.1265830820617964
265,mPLUG-Owl3-7B-241101,,2024-11-26,1.1165832824273807
92,PaLM 2-S,,2023-05-17,1.1111422144779013
69,Megatron-Turing NLG 530B,Megatron-Turing NLG 530B,2022-01-28,1.1071821922396021
204,T5-Base,,,1.0900412932867964
117,Qwen-7B,Qwen-7B,2023-09-28,1.0875571236778003
141,DeepSeek-Coder-V2-Base,DeepSeek-Coder-V2 236B,2024-06-17,1.0784524242804234
181,vicuna-13b-v1.3,Vicuna-13B-v1.3,2023-06-18,1.0653875211249724
182,opt-175b,OPT-175B,2022-05-02,1.0644843493791707
198,Gopher (280B),Gopher (280B),2021-12-08,1.055340801107678
102,falcon-40b,Falcon-40B,2023-03-15,1.052174212379746
98,Llama-2-34b,Llama 2-34B,2023-07-18,1.04651504863594
97,Llama-2-13b,Llama 2-13B,2023-07-18,1.0447210348499905
210,Yi-34B-Chat,Yi-34B,2023-11-22,1.0315384465455562
137,Qwen2.5-Coder-7B,Qwen2.5-Coder (7B),2024-09-18,1.0182677724144675
104,chatglm2-6b,,2023-06-24,1.0160893011350511
168,qwen2.5-7b-instruct,Qwen2.5-7B,2025-02-26,1.014409820566639
306,Mistral-7B-Instruct-v0.3,Mistral 7B,2024-05-27,1.0091956894357246
270,TimeMarker,,2024-11-27,1.0086182528119605
175,Baichuan-13B-Base,Baichuan 1-13B,2023-07-11,1.0074819387468965
89,Yi-6B,Yi 6B,2023-11-02,0.9776079258003776
105,internlm-7b,,2023-07-05,0.965135235951057
320,open-mistral-7b,Mistral 7B,2023-09-27,0.9616190422414047
135,DeepSeek-Coder-V2-Lite-Base,,2024-06-13,0.9579937418292738
194,Phi-3.5-mini-instruct,phi-3.5-mini,2024-08-16,0.9574176552829752
121,PaLM 62B,,2022-04-04,0.956116512506331
68,text-davinci-001,InstructGPT 175B,2022-01-27,0.9542086459711401
274,VITA-1.5,,2024-12-20,0.9444743761242516
275,kangaroo,,2024-11-13,0.9391472570881687
90,Yi-9B,,2024-03-01,0.92969053968326
273,VITA,,2024-08-12,0.9285008146665347
119,Nemotron-4 15B,Nemotron-4 15B,2024-02-26,0.9280331420558979
112,LLaMA-13B,LLaMA-13B,2023-02-27,0.9191228296629713
272,Video-XL-7B,,2024-10-17,0.9125498471525006
184,opt-66b,OPT-66B,2022-05-03,0.9102470910228249
203,T5-Small,,,0.9001280888131886
169,Llama-3.2-1B-Instruct,Llama 3.2 1B,2024-09-24,0.8994878876281364
185,davinci,GPT-3 175B (davinci),,0.88967164468896
120,mpt-30b,MPT-30B,2023-06-22,0.8852045172900581
131,Qwen2.5-Coder-3B,,2024-09-18,0.8585573173162463
301,gemma2:27b-instruct-q8_0,Gemma 2 27B,2024-06-27,0.8517269593850192
108,Baichuan-2-13B-Base,Baichuan2-13B,2023-09-06,0.8496901191572758
96,Llama-2-7b,Llama 2-7B,2023-07-18,0.8375157371267454
143,vicuna-13b-v1.1,,2023-04-12,0.807297429135481
186,bloom,BLOOM-176B,2022-07-06,0.8036802924870209
109,LLaMA-7B,LLaMA-7B,2023-02-24,0.7928441576212074
138,starcoder2-15b,StarCoder 2 15B,2024-02-20,0.7917716957606563
276,Video-CCAM-7B-v1.2,,2024-09-29,0.7908841370353616
278,long-llava-qwen2-7b,,2024-08-30,0.775080239841546
174,Baichuan-7B,Baichuan1-7B,2023-06-01,0.7657537555315873
101,falcon-7b,Falcon-7B,2023-04-24,0.7631971708099639
279,LongVA-7B,,2024-06-13,0.7592878414629253
103,mpt-7b,MPT-7B,2023-05-05,0.740393379869315
107,Baichuan-2-7B-Base,Baichuan 2-7B,2023-09-20,0.7272119273155592
126,gemma-2b,Gemma 2B,2024-02-21,0.7265600121970117
151,xgen-7b-8k-base,XGen-7B,2023-06-27,0.7223505492462028
116,Qwen-1_8B,,2023-11-30,0.7149758943742359
140,deepseek-coder-33b-base,DeepSeek Coder 33B,2023-11-02,0.7089606951580528
281,Qwen-VL-Max,,2024-01-18,0.6909596686865024
129,Qwen2.5-Coder-1.5B,Qwen2.5-Coder (1.5B),2024-09-18,0.677233449448807
152,open_llama_7b,,2023-06-07,0.6646560195346574
153,RedPajama-INCITE-7B-Base,,2023-05-04,0.6601324899267729
280,InternVL-Chat-V1-5,,2024-04-18,0.6594644885465312
154,gpt-neox-20b,GPT-NeoX-20B,2022-04-07,0.6526390904113731
132,starcoder2-7b,StarCoder 2 7B,2024-02-20,0.6495164854939095
147,phi-1_5,Phi-1.5,2023-09-11,0.6484181289944513
187,curie,GPT-3 6.7B,,0.6263006979283569
134,deepseek-coder-6.7b-base,DeepSeek Coder 6.7B,2023-11-02,0.6094118475179988
136,CodeQwen1.5-7B,,2024-04-15,0.5970012693775587
157,gpt-j-6b,GPT-J-6B,2021-08-05,0.5938705825829365
156,opt-13b,,2022-05-11,0.5841210055617954
130,starcoder2-3b,StarCoder 2 3B,2024-02-22,0.5700355350128783
158,dolly-v2-12b,Dolly 2.0-12b,2023-04-11,0.5592254581276948
189,text-curie-001,InstructGPT 6B,,0.5591455751391907
159,Cerebras-GPT-13B,Cerebras-GPT-13B,2023-03-20,0.5055689610266527
216,Pixtral-12B-2409,Pixtral 12B,2024-09-17,0.500740622242668
